id,name,spend_eur,ads_count,party
109832419149120,CSU Kreisverband Günzburg,3021,19,cdu
100668651929871,Tino Schomann,2978,31,cdu
1403988733183196,AfD Kreisverband Minden-Lübbecke,2968,61,afd
105586340900313,CSU - Für ein starkes Straubing,2950,14,cdu
214065808453,SPD Saar,3051,15,spd
201917939829182,Bündnis 90/Die Grünen Herne,4330,191,gruene
528133710580430,Bündnis 90/Die Grünen Kreis Mettmann,3076,109,gruene
601163706652420,Niels Annen,2942,70,spd
2158012137543502,AfD-Fraktion im Bayerischen Landtag,2931,37,afd
334672670226546,CDU Göttingen,2930,52,cdu
103167695032246,Michael Joukov / Landtags-Wahlkreis 64,4355,92,gruene
102871673163893,BÜNDNIS 90/DIE GRÜNEN - Kreisverband Oberberg,3058,68,gruene
40415227476,Jusos in der SPD,2916,30,spd
110954243838478,Stephan Schwarz AfD,2912,175,afd
1769874936617486,SPD im Ruhrparlament,2900,32,spd
100151881923406,UNSER LANDKREIS VON MORGEN,3271,33,cdu
545186722205280,Otto Lederer,2893,87,cdu
564616706926430,Bündnis 90/Die Grünen Darmstadt,5940,171,gruene
449738865388648,SPD Kreisverband Wesel,2850,37,spd
110017094494455,Thomas Grämmer,2845,63,spd
109006391253440,Jessica Rosenthal,2844,54,spd
110832494108472,Tobias Bergmann. Das neue Neumünster,2834,82,spd
818732621553521,AfD Hannover Stadt,2935,32,afd
465618106798253,SPD-Weilerswist,2814,33,spd
2357545427862990,Dr. Christoph Berndt,2805,7,afd
404775586259729,Grüner Kreisverband Stadt und Landkreis Rosenheim,2800,91,gruene
2053330071620476,Andreas Ellendt - Kiel,2789,33,cdu
106309830837149,Christian Buchen - Stadtrat Bergisch Gladbach,2785,79,cdu
147694841945686,Grüne Würzburg-Land,2775,80,gruene
330148333760121,Grüne Fraktion Bayern,2771,76,gruene
337150283792894,Martin Luckert - Bürgermeister für Iserlohn,2760,83,spd
289342941106599,Grüne in Bochum,3688,197,gruene
226903380780769,Bündnis 90/Die Grünen Pankow,3303,145,gruene
